TimeStamp;FrameCounter;State;RPM;ObjectDistance;SignalQuality;MovementSlow;MovementFast
2020-02-09T23:42:55.307+08:00;17;4;0;0;0;0;0
2020-02-09T23:42:56.268+08:00;34;4;0;0;0;0;0
2020-02-09T23:42:57.265+08:00;51;4;0;0;0;0;0
2020-02-09T23:42:58.263+08:00;68;4;0;0;0;0;0
2020-02-09T23:42:59.259+08:00;85;4;0;0;0;0;0
2020-02-09T23:43:00.256+08:00;102;4;0;0;0;0;0
2020-02-09T23:43:01.253+08:00;119;4;0;0;0;0;0
2020-02-09T23:43:02.250+08:00;136;4;0;0;0;0;0
2020-02-09T23:43:03.247+08:00;153;4;0;0;0;0;0
2020-02-09T23:43:04.244+08:00;170;4;0;0;0;0;0
2020-02-09T23:43:05.241+08:00;187;4;0;0;0;0;0
2020-02-09T23:43:06.238+08:00;204;4;0;0;0;0;0
2020-02-09T23:43:07.235+08:00;221;4;0;0;0;0;0
2020-02-09T23:43:08.231+08:00;238;4;0;0;0;0;0
2020-02-09T23:43:09.229+08:00;255;4;0;0;0;0;0
2020-02-09T23:43:10.268+08:00;272;4;0;0;0;0;0
2020-02-09T23:43:11.274+08:00;289;4;0;0;0;0;0
2020-02-09T23:43:12.269+08:00;306;4;0;0;0;0;0
2020-02-09T23:43:13.268+08:00;323;4;0;0;0;0;0
2020-02-09T23:43:14.263+08:00;340;4;0;0;0;0;0
2020-02-09T23:43:15.261+08:00;357;4;0;0;0;0;0
2020-02-09T23:43:16.257+08:00;374;4;0;0;0;0;0
2020-02-09T23:43:17.254+08:00;391;4;0;0;0;0;0
2020-02-09T23:43:18.250+08:00;408;4;0;0;0;0;0
2020-02-09T23:43:19.248+08:00;425;4;0;0;0;0;0
2020-02-09T23:43:20.244+08:00;442;4;0;0;0;0;0
2020-02-09T23:43:21.241+08:00;459;4;0;0;0;0;0
2020-02-09T23:43:22.238+08:00;476;4;0;0;0;0;0
2020-02-09T23:43:23.235+08:00;493;4;0;0;0;0;0
2020-02-09T23:43:24.232+08:00;510;4;0;0;0;0;0
2020-02-09T23:43:25.230+08:00;527;4;0;0;0;0;0
2020-02-09T23:43:26.225+08:00;544;4;0;0;0;0;0
2020-02-09T23:43:27.223+08:00;561;4;0;0;0;0;0
2020-02-09T23:43:28.219+08:00;578;4;0;0;0;0;0
2020-02-09T23:43:29.217+08:00;595;4;0;0;0;0;0
2020-02-09T23:43:30.213+08:00;612;4;0;0;0;0;0
2020-02-09T23:43:31.211+08:00;629;4;0;0;0;0;0
2020-02-09T23:43:32.206+08:00;646;4;0;0;0;0;0
2020-02-09T23:43:33.205+08:00;663;4;0;0;0;0;0
2020-02-09T23:43:34.200+08:00;680;4;0;0;0;0;0
2020-02-09T23:43:35.198+08:00;697;4;0;0;0;0;0
2020-02-09T23:43:36.194+08:00;714;4;0;0;0;0;0
2020-02-09T23:43:37.191+08:00;731;4;0;0;0;0;0
2020-02-09T23:43:38.187+08:00;748;4;0;0;0;0;0
2020-02-09T23:43:39.185+08:00;765;4;0;0;0;0;0
2020-02-09T23:43:40.181+08:00;782;4;0;0;0;0;0
2020-02-09T23:43:41.180+08:00;799;4;0;0;0;0;0
